user_utterances,intend,entity,processed_utterances,bot_responses
How do you say dog in German?,translate_request,German,dog in German,Dog in German is Hund
What’s the largest mammal?,general_knowledge,mammal,largest mammal,The largest mammal is the blue whale
Can you help me find a gift?,help_request_gift,gift,help find gift,Of course Who is the gift for
How do you say summer in French?,translate_request,French,summer in French,Summer in French is Été
What’s the longest river in Africa?,general_knowledge,river,longest river in Africa,The longest river in Africa is the Nile
Can you help me choose a book?,help_request_book,book,help choose book,Of course What genre are you interested in
How do you say goodbye in German?,translate_request,German,goodbye in German,Goodbye in German is Auf Wiedersehen
What’s the most valuable company?,general_knowledge,company,most valuable company,As of now the most valuable company in the world is Apple
Can you help me with my essay?,help_request_essay,essay,help with essay,Of course What’s your essay about
How do you say good night in German?,translate_request,German,good night in German,Good night in German is Gute Nacht
What’s the most populated city?,general_knowledge,city,most populated city,The most populated city in the world is Tokyo
Can you help me find a video?,help_request_video,video,help find video,Of course What’s the video about
How do you say computer in Spanish?,translate_request,Spanish,computer in Spanish,Computer in Spanish is Computadora
What’s the most dangerous animal?,general_knowledge,animal,most dangerous animal,The most dangerous animal to humans is the mosquito
Can you help me create a schedule?,help_request_schedule,schedule,help create schedule,Of course What do you need to schedule
How do you say apple in French?,translate_request,French,apple in French,Apple in French is Pomme
What’s the largest island in the world?,general_knowledge,island,largest island in world,The largest island in the world is Greenland
Can you help me write a story?,help_request_story,story,help write story,Of course What’s your story about
How do you say happy birthday in German?,translate_request,German,happy birthday in German,Happy birthday in German is Alles Gute zum Geburtstag
What’s the longest mountain range?,general_knowledge,mountain,longest mountain range,The longest mountain range in the world is the Andes
Can you help me with directions?,help_request_directions,directions,help with directions,Of course Where are you trying to go
How do you say teacher in German?,translate_request,German,teacher in German,Teacher in German is Lehrer
What’s the most popular sport?,general_knowledge,sport,most popular sport,The most popular sport in the world is soccer
Can you help me with my resume?,help_request_resume,resume,help with resume,Of course What’s your resume for
How do you say yes in Spanish?,translate_request,Spanish,yes in Spanish,Yes in Spanish is Sí
What’s the fastest land animal?,general_knowledge,animal,fastest land animal,The fastest land animal is the cheetah
Can you help me find a new hobby?,help_request_hobby,hobby,help find hobby,Of course What are you interested in
How do you say mother in French?,translate_request,French,mother in French,Mother in French is Mère
What’s the largest planet?,general_knowledge,planet,largest planet,The largest planet in our solar system is Jupiter
Can you help me with a budget?,help_request_finance,budget,help with budget,Of course What do you need help with in your budget
How do you say good afternoon in German?,translate_request,German,good afternoon in German,Good afternoon in German is Guten Nachmittag
What’s the oldest building?,general_knowledge,building,oldest building,The oldest building is the Megalithic Temples of Malta
Can you help me pick a movie?,help_request_movie,movie,help pick movie,Of course What type of movie do you feel like watching
How do you say horse in Spanish?,translate_request,Spanish,horse in Spanish,Horse in Spanish is Caballo
What’s the longest river?,general_knowledge,river,longest river,The longest river in the world is the Nile River
Can you help me with an assignment?,help_request_assignment,assignment,help with assignment,Of course What’s your assignment about
How do you say cat in French?,translate_request,French,cat in French,Cat in French is Chat
What’s the most famous painting?,general_knowledge,painting,most famous painting,The most famous painting in the world is the Mona Lisa by Leonardo da Vinci
Can you help me find a book?,help_request_book,book,help find book,Of course What genre are you interested in
How do you say no in German?,translate_request,German,no in German,No in German is Nein
What’s the smallest country?,general_knowledge,country,smallest country,The smallest country in the world is Vatican City
Can you help me find a restaurant?,help_request_restaurant,restaurant,help find restaurant,Of course What type of cuisine are you looking for
How do you say water in Spanish?,translate_request,Spanish,water in Spanish,Water in Spanish is Agua
What’s the highest mountain?,general_knowledge,mountain,highest mountain,The highest mountain in the world is Mount Everest
Can you help me with a school project?,help_request_project,school project,help with school project,Of course What’s the project about
How do you say good morning in Spanish?,translate_request,Spanish,good morning in Spanish,Good morning in Spanish is Buenos días
What’s the largest city?,general_knowledge,city,largest city,The largest city in the world by population is Tokyo
Can you help me choose a vacation spot?,help_request_vacation,vacation,help choose vacation spot,Of course What kind of vacation are you looking for
How do you say please in French?,translate_request,French,please in French,Please in French is S'il vous plaît
What’s the smallest planet?,general_knowledge,planet,smallest planet,The smallest planet in our solar system is Mercury
Can you help me with a recipe?,help_request_recipe,recipe,help with recipe,Of course What would you like to cook
How do you say house in German?,translate_request,German,house in German,House in German is Haus
What’s the coldest place on Earth?,general_knowledge,place,coldest place on Earth,The coldest place on Earth is Antarctica
Can you help me organize my day?,help_request_schedule,day,help organize day,Of course What do you need help with
How do you say car in Spanish?,translate_request,Spanish,car in Spanish,Car in Spanish is Coche
What’s the tallest tree?,general_knowledge,tree,tallest tree,The tallest tree in the world is a coast redwood named Hyperion
Can you help me plan a trip?,help_request_trip,trip,help plan trip,Of course Where are you planning to go
How do you say father in French?,translate_request,French,father in French,Father in French is Père
What’s the most spoken language in the world?,general_knowledge,language,most spoken language world,The most spoken language in the world is English
Can you help me with a quiz?,help_request_quiz,quiz,help with quiz,Of course What’s the quiz about
How do you say bicycle in Spanish?,translate_request,Spanish,bicycle in Spanish,Bicycle in Spanish is Bicicleta
What’s the deepest ocean?,general_knowledge,ocean,deepest ocean,The deepest ocean in the world is the Pacific Ocean
Can you help me with my homework?,help_request_homework,homework,help with homework,Of course What subject do you need help with
How do you say good luck in French?,translate_request,French,good luck in French,Good luck in French is Bonne chance
What’s the biggest country by area?,general_knowledge,country,biggest country by area,The biggest country by area is Russia
Can you help me choose a movie?,help_request_movie,movie,help choose movie,Of course What genre are you in the mood for
How do you say library in Spanish?,translate_request,Spanish,library in Spanish,Library in Spanish is Biblioteca
What’s the oldest city?,general_knowledge,city,oldest city,The oldest continuously inhabited city is Damascus in Syria
Can you help me pick a gift?,help_request_gift,gift,help pick gift,Of course Who is the gift for
How do you say friend in Spanish?,translate_request,Spanish,friend in Spanish,Friend in Spanish is Amigo
What’s the most visited city?,general_knowledge,city,most visited city,The most visited city in the world is Bangkok
Can you help me with my schedule?,help_request_schedule,schedule,help with schedule,Of course What do you need help organizing
How do you say teacher in French?,translate_request,French,teacher in French,Teacher in French is Professeur
What’s the biggest island?,general_knowledge,island,biggest island,The biggest island in the world is Greenland
Can you help me with a resume?,help_request_resume,resume,help with resume,Of course What job are you applying for
How do you say bathroom in Spanish?,translate_request,Spanish,bathroom in Spanish,Bathroom in Spanish is Baño
What’s the largest mammal?,general_knowledge,mammal,largest mammal,The largest mammal is the blue whale
Can you help me find a good podcast?,help_request_podcast,podcast,help find good podcast,Of course What topic interests you
How do you say food in French?,translate_request,French,food in French,Food in French is Nourriture
What’s the tallest building in the world?,general_knowledge,building,tallest building world,The tallest building in the world is the Burj Khalifa
Can you help me plan a party?,help_request_party,party,help plan party,Of course What kind of party are you planning
How do you say night in Spanish?,translate_request,Spanish,night in Spanish,Night in Spanish is Noche
What’s the oldest book?,general_knowledge,book,oldest book,One of the oldest known books is The Epic of Gilgamesh
Can you help me with my essay?,help_request_essay,essay,help with essay,Of course What’s your essay topic
How do you say train in French?,translate_request,French,train in French,Train in French is Train
What’s the largest continent?,general_knowledge,continent,largest continent,The largest continent by area is Asia
Can you help me choose a movie to watch?,help_request_movie,movie,help choose movie watch,Of course What type of movie are you interested in
How do you say computer in French?,translate_request,French,computer in French,Computer in French is Ordinateur
What’s the deepest lake?,general_knowledge,lake,deepest lake,The deepest lake in the world is Lake Baikal in Russia
Can you help me write an email?,help_request_email,email,help write email,Of course What do you need to say in your email
How do you say dog in French?,translate_request,French,dog in French,Dog in French is Chien
What’s the most expensive car?,general_knowledge,car,most expensive car,The most expensive car ever sold is a 1962 Ferrari 250 GTO
Can you help me organize my notes?,help_request_notes,notes,help organize notes,Of course How would you like to organize them
How do you say brother in French?,translate_request,French,brother in French,Brother in French is Frère
What’s the largest ocean?,general_knowledge,ocean,largest ocean,The largest ocean in the world is the Pacific Ocean
Can you help me pick a restaurant?,help_request_restaurant,restaurant,help pick restaurant,Of course What type of food are you craving
How do you say love in Spanish?,translate_request,Spanish,love in Spanish,Love in Spanish is Amor
What’s the smallest continent?,general_knowledge,continent,smallest continent,The smallest continent by area is Australia
Can you help me write a story?,help_request_story,story,help write story,Of course What’s your story about
How do you say happy in French?,translate_request,French,happy in French,Happy in French is Heureux
What’s the longest river in the world?,general_knowledge,river,longest river world,The longest river in the world is the Nile River
Can you help me with a project?,help_request_project,project,help with project,Of course What’s your project about
How do you say cat in Spanish?,translate_request,Spanish,cat in Spanish,Cat in Spanish is Gato
What’s the most expensive painting?,general_knowledge,painting,most expensive painting,The most expensive painting ever sold is Leonardo da Vinci’s Salvator Mundi
Can you help me with my schedule?,help_request_schedule,schedule,help with schedule,Of course What do you need help organizing
How do you say table in French?,translate_request,French,table in French,Table in French is Table
What’s the highest mountain in the world?,general_knowledge,mountain,highest mountain world,The highest mountain in the world is Mount Everest
Can you help me pick a vacation spot?,help_request_vacation,vacation,help pick vacation spot,Of course What kind of vacation are you looking for
How do you say car in French?,translate_request,French,car in French,Car in French is Voiture
What’s the hottest planet?,general_knowledge,planet,hottest planet,The hottest planet in our solar system is Venus
Can you help me plan a trip?,help_request_trip,trip,help plan trip,Of course Where would you like to go
How do you say sun in French?,translate_request,French,sun in French,Sun in French is Soleil
What’s the longest word?,general_knowledge,word,longest word,The longest word in the English language is Pneumonoultramicroscopicsilicovolcanoconiosis
Can you help me write a letter?,help_request_letter,letter,help write letter,Of course What’s the letter about
How do you say goodbye in French?,translate_request,French,goodbye in French,Goodbye in French is Au revoir
What’s the coldest planet?,general_knowledge,planet,coldest planet,The coldest planet in our solar system is Neptune
Can you help me with my resume?,help_request_resume,resume,help with resume,Of course What job are you applying for
How do you say hello in German?,translate_request,German,hello in German,Hello in German is Hallo
What’s the most dangerous place to live?,general_knowledge,place,most dangerous place,The most dangerous place to live due to natural disasters is the Pacific Ring of Fire
Can you help me find a good book?,help_request_book,book,help find good book,Of course What genre are you interested in
How do you say help in French?,translate_request,French,help in French,Help in French is Aide
What’s the richest country?,general_knowledge,country,richest country,The richest country by GDP per capita is Luxembourg
Can you help me plan an event?,help_request_event,event,help plan event,Of course What kind of event are you planning
How do you say water in French?,translate_request,French,water in French,Water in French is Eau
What’s the tallest waterfall?,general_knowledge,waterfall,tallest waterfall,The tallest waterfall in the world is Angel Falls in Venezuela
Can you help me find a new hobby?,help_request_hobby,hobby,help find new hobby,Of course What are you interested in
How do you say bird in Spanish?,translate_request,Spanish,bird in Spanish,Bird in Spanish is Pájaro
What’s the oldest language?,general_knowledge,language,oldest language,The oldest known language is Sumerian
Can you help me with my assignment?,help_request_assignment,assignment,help with assignment,Of course What’s your assignment about
How do you say school in French?,translate_request,French,school in French,School in French is École
What’s the most popular name?,general_knowledge,name,most popular name,The most popular name in the world is Muhammad
Can you help me organize my notes?,help_request_notes,notes,help organize notes,Of course How would you like to organize them
How do you say coffee in Spanish?,translate_request,Spanish,coffee in Spanish,Coffee in Spanish is Café
What’s the largest desert?,general_knowledge,desert,largest desert,The largest desert in the world is the Antarctic Desert
Can you help me with a presentation?,help_request_presentation,presentation,help with presentation,Of course What’s the presentation about
Can you help me pick a TV show to watch?,help_request_tv_show,tv show,help pick tv show watch,Of course What genre do you prefer
How do you say door in Spanish?,translate_request,Spanish,door in Spanish,Door in Spanish is Puerta
What’s the most popular sport?,general_knowledge,sport,most popular sport,The most popular sport in the world is soccer
Can you help me with my travel plans?,help_request_travel,travel,help with travel plans,Of course Where are you planning to go
How do you say window in French?,translate_request,French,window in French,Window in French is Fenêtre
What’s the largest animal in the ocean?,general_knowledge,animal,largest animal ocean,The largest animal in the ocean is the blue whale
Can you help me choose a college?,help_request_college,college,help choose college,Of course What major are you interested in
How do you say sky in Spanish?,translate_request,Spanish,sky in Spanish,Sky in Spanish is Cielo
What’s the oldest university?,general_knowledge,university,oldest university,The oldest university in the world is the University of al-Qarawiyyin in Morocco
Can you help me pick out a new phone?,help_request_phone,phone,help pick new phone,Of course What features are you looking for
How do you say flower in French?,translate_request,French,flower in French,Flower in French is Fleur
What’s the longest bridge?,general_knowledge,bridge,longest bridge,The longest bridge in the world is the Danyang-Kunshan Grand Bridge in China
Can you help me create a study schedule?,help_request_study_schedule,study schedule,help create study schedule,Of course How many hours can you dedicate to studying each day
How do you say river in Spanish?,translate_request,Spanish,river in Spanish,River in Spanish is Río
What’s the oldest building?,general_knowledge,building,oldest building,One of the oldest buildings in the world is the Göbekli Tepe in Turkey
Can you help me plan a weekend getaway?,help_request_weekend_getaway,weekend getaway,help plan weekend getaway,Of course What kind of getaway are you thinking about
How do you say moon in French?,translate_request,French,moon in French,Moon in French is Lune
What’s the hottest desert?,general_knowledge,desert,hottest desert,The hottest desert in the world is the Lut Desert in Iran
Can you help me find a new book to read?,help_request_book,book,help find new book read,Of course What genre do you like
How do you say chair in Spanish?,translate_request,Spanish,chair in Spanish,Chair in Spanish is Silla
What’s the most common first name?,general_knowledge,name,most common first name,The most common first name in the world is Muhammad
Can you help me choose a laptop?,help_request_laptop,laptop,help choose laptop,Of course What will you primarily use the laptop for
How do you say ocean in French?,translate_request,French,ocean in French,Ocean in French is Océan
What’s the largest rainforest?,general_knowledge,rainforest,largest rainforest,The largest rainforest in the world is the Amazon Rainforest
Can you help me pick out a gift for a friend?,help_request_gift,gift,help pick gift for friend,Of course What are your friend’s interests
How do you say food in Spanish?,translate_request,Spanish,food in Spanish,Food in Spanish is Comida
What’s the oldest known civilization?,general_knowledge,civilization,oldest civilization,The oldest known civilization is the Sumerian civilization
Can you help me choose a career path?,help_request_career,career,help choose career path,Of course What are your skills and interests
How do you say mountain in French?,translate_request,French,mountain in French,Mountain in French is Montagne
What’s the most visited tourist attraction?,general_knowledge,tourist attraction,most visited tourist attraction,The most visited tourist attraction in the world is the Great Wall of China
Can you help me plan a budget?,help_request_budget,budget,help plan budget,Of course What’s your goal for the budget
How do you say road in Spanish?,translate_request,Spanish,road in Spanish,Road in Spanish is Carretera
What’s the largest volcano?,general_knowledge,volcano,largest volcano,The largest volcano in the world is Mauna Loa in Hawaii
Can you help me with a research paper?,help_request_research,research paper,help with research paper,Of course What’s your topic
How do you say city in French?,translate_request,French,city in French,City in French is Ville
What’s the fastest animal?,general_knowledge,animal,fastest animal,The fastest animal in the world is the peregrine falcon
Can you help me create a meal plan?,help_request_meal_plan,meal plan,help create meal plan,Of course What are your dietary preferences
How do you say airplane in Spanish?,translate_request,Spanish,airplane in Spanish,Airplane in Spanish is Avión
What’s the largest flower?,general_knowledge,flower,largest flower,The largest flower in the world is the Rafflesia arnoldii
Can you help me write a speech?,help_request_speech,speech,help write speech,Of course What’s the speech about
How do you say music in French?,translate_request,French,music in French,Music in French is Musique
What’s the most expensive city?,general_knowledge,city,most expensive city,The most expensive city to live in is Singapore
Can you help me plan a surprise party?,help_request_surprise_party,surprise party,help plan surprise party,Of course Who is the party for
How do you say tree in Spanish?,translate_request,Spanish,tree in Spanish,Tree in Spanish is Árbol
What’s the oldest tree?,general_knowledge,tree,oldest tree,The oldest tree in the world is a Great Basin bristlecone pine
Can you help me pick a restaurant for a date?,help_request_restaurant_date,restaurant,help pick restaurant for date,Of course What kind of atmosphere are you looking for
How do you say family in French?,translate_request,French,family in French,Family in French is Famille
What’s the most visited museum?,general_knowledge,museum,most visited museum,The most visited museum in the world is the Louvre in Paris
Can you help me create a shopping list?,help_request_shopping_list,shopping list,help create shopping list,Of course What do you need to buy
How do you say earth in Spanish?,translate_request,Spanish,earth in Spanish,Earth in Spanish is Tierra
What’s the largest island in the Caribbean?,general_knowledge,island,largest island Caribbean,The largest island in the Caribbean is Cuba
Can you help me with my CV?,help_request_cv,CV,help with CV,Of course What job are you applying for
How do you say computer in Spanish?,translate_request,Spanish,computer in Spanish,Computer in Spanish is Computadora
What’s the most common job?,general_knowledge,job,most common job,The most common job in the world is a retail salesperson
Can you help me choose a movie to stream?,help_request_movie,movie,help choose movie stream,Of course What genre are you interested in
How do you say street in French?,translate_request,French,street in French,Street in French is Rue
What’s the longest road?,general_knowledge,road,longest road,The longest road in the world is the Pan-American Highway
Can you help me write a business plan?,help_request_business_plan,business plan,help write business plan,Of course What’s your business idea
How do you say water in Italian?,translate_request,Italian,water in Italian,Water in Italian is Acqua
What’s the largest stadium?,general_knowledge,stadium,largest stadium,The largest stadium in the world is Rungrado 1st of May Stadium in North Korea
Can you help me find a job?,help_request_job,job,help find job,Of course What kind of job are you looking for
How do you say book in Spanish?,translate_request,Spanish,book in Spanish,Book in Spanish is Libro
What’s the most expensive food?,general_knowledge,food,most expensive food,The most expensive food in the world is white truffle
Can you help me create a to-do list?,help_request_todo_list,to-do list,help create to-do list,Of course What tasks do you need to accomplish
How do you say fish in French?,translate_request,French,fish in French,Fish in French is Poisson
What’s the largest lake in the world?,general_knowledge,lake,largest lake world,The largest lake in the world by area is the Caspian Sea
Can you help me choose a book to read?,help_request_book,book,help choose book read,Of course What type of books do you enjoy
How do you say pen in Spanish?,translate_request,Spanish,pen in Spanish,Pen in Spanish is Bolígrafo
What’s the oldest company?,general_knowledge,company,oldest company,The oldest company in the world is Kongo Gumi in Japan
Can you help me with a design project?,help_request_design,design project,help with design project,Of course What are you designing
How do you say movie in French?,translate_request,French,movie in French,Movie in French is Film
What’s the most powerful animal?,general_knowledge,animal,most powerful animal,The most powerful animal in the world is the dung beetle
Can you help me create a workout plan?,help_request_workout_plan,workout plan,help create workout plan,Of course What are your fitness goals
How do you say summer in Spanish?,translate_request,Spanish,summer in Spanish,Summer in Spanish is Verano
What’s the largest country by area?,general_knowledge,country,largest country area,The largest country by area is Russia
Can you help me write a book?,help_request_book_writing,book,help write book,Of course What’s your book about
How do you say dog in French?,translate_request,French,dog in French,Dog in French is Chien
What’s the smallest country by population?,general_knowledge,country,smallest country population,The smallest country by population is Vatican City
Can you help me choose a birthday gift?,help_request_birthday_gift,birthday gift,help choose birthday gift,Of course What does the person like
How do you say cat in Spanish?,translate_request,Spanish,cat in Spanish,Cat in Spanish is Gato
What’s the largest airport?,general_knowledge,airport,largest airport,The largest airport in the world by area is King Fahd International Airport in Saudi Arabia
Can you help me with my homework?,help_request_homework,homework,help with homework,Of course What subject is it
How do you say friend in French?,translate_request,French,friend in French,Friend in French is Ami
What’s the longest river?,general_knowledge,river,longest river,The longest river in the world is the Nile River
Can you help me write an essay?,help_request_essay,essay,help write essay,Of course What’s the essay topic
How do you say phone in Spanish?,translate_request,Spanish,phone in Spanish,Phone in Spanish is Teléfono
What’s the largest desert in Africa?,general_knowledge,desert,largest desert Africa,The largest desert in Africa is the Sahara Desert
Can you help me plan a road trip?,help_request_road_trip,road trip,help plan road trip,Of course Where are you planning to go
How do you say book in French?,translate_request,French,book in French,Book in French is Livre
What’s the smallest country by area?,general_knowledge,country,smallest country area,The smallest country by area is Vatican City
Can you help me write a letter?,help_request_letter,letter,help write letter,Of course What’s the letter about
How do you say car in Spanish?,translate_request,Spanish,car in Spanish,Car in Spanish is Coche
Can you help me choose a video game to play?,help_request_video_game,video game,help choose video game play,Of course What genre of games do you enjoy
How do you say flower in Spanish?,translate_request,Spanish,flower in Spanish,Flower in Spanish is Flor
What’s the highest mountain in the world?,general_knowledge,mountain,highest mountain world,The highest mountain in the world is Mount Everest
Can you help me plan a birthday party?,help_request_birthday_party,birthday party,help plan birthday party,Of course Who is the party for
How do you say apple in French?,translate_request,French,apple in French,Apple in French is Pomme
What is the longest movie ever made?,general_knowledge,movie,longest movie made,The longest movie ever made is Logistics which runs for 857 hours
Can you help me create a business presentation?,help_request_business_presentation,business presentation,help create business presentation,Of course What’s your presentation about
How do you say love in Spanish?,translate_request,Spanish,love in Spanish,Love in Spanish is Amor
What’s the largest ocean?,general_knowledge,ocean,largest ocean,The largest ocean in the world is the Pacific Ocean
Can you help me write a cover letter?,help_request_cover_letter,cover letter,help write cover letter,Of course What job are you applying for
How do you say teacher in French?,translate_request,French,teacher in French,Teacher in French is Professeur
What’s the smallest mammal?,general_knowledge,mammal,smallest mammal,The smallest mammal in the world is the bumblebee bat
Can you help me choose a gift for my mom?,help_request_mom_gift,gift,help choose gift for mom,Of course What does your mom like
How do you say music in Spanish?,translate_request,Spanish,music in Spanish,Music in Spanish is Música
What’s the most popular website?,general_knowledge,website,most popular website,The most popular website in the world is Google
Can you help me plan a holiday?,help_request_holiday,holiday,help plan holiday,Of course Where are you thinking of going
How do you say happy in French?,translate_request,French,happy in French,Happy in French is Heureux
What’s the largest city in the world?,general_knowledge,city,largest city world,The largest city in the world by population is Tokyo
Can you help me organize a charity event?,help_request_charity_event,charity event,help organize charity event,Of course What’s the charity for
How do you say heart in Spanish?,translate_request,Spanish,heart in Spanish,Heart in Spanish is Corazón
What’s the most common last name?,general_knowledge,last name,most common last name,The most common last name in the world is Wang
Can you help me create a project plan?,help_request_project_plan,project plan,help create project plan,Of course What’s the project about
How do you say sun in French?,translate_request,French,sun in French,Sun in French is Soleil
What’s the hottest planet?,general_knowledge,planet,hottest planet,The hottest planet in our solar system is Venus
Can you help me choose a vacation spot?,help_request_vacation_spot,vacation spot,help choose vacation spot,Of course What type of vacation are you looking for
How do you say tree in French?,translate_request,French,tree in French,Tree in French is Arbre
What’s the most endangered animal?,general_knowledge,animal,most endangered animal,The most endangered animal is the vaquita porpoise
Can you help me write a poem?,help_request_poem,poem,help write poem,Of course What’s the theme of the poem
How do you say moon in Spanish?,translate_request,Spanish,moon in Spanish,Moon in Spanish is Luna
What’s the largest continent?,general_knowledge,continent,largest continent,The largest continent in the world is Asia
Can you help me pick a name for my pet?,help_request_pet_name,pet name,help pick name for pet,Of course What kind of pet do you have
How do you say friend in Spanish?,translate_request,Spanish,friend in Spanish,Friend in Spanish is Amigo
What’s the tallest building?,general_knowledge,building,tallest building,The tallest building in the world is the Burj Khalifa in Dubai
Can you help me plan a romantic dinner?,help_request_romantic_dinner,romantic dinner,help plan romantic dinner,Of course What’s the occasion
How do you say car in French?,translate_request,French,car in French,Car in French is Voiture
What’s the most common birthday?,general_knowledge,birthday,most common birthday,The most common birthday in the world is September 9th
Can you help me choose a movie for family night?,help_request_movie_family,movie,help choose movie family night,Of course What type of movies does your family enjoy
How do you say star in Spanish?,translate_request,Spanish,star in Spanish,Star in Spanish is Estrella
What’s the coldest place on Earth?,general_knowledge,place,coldest place earth,The coldest place on Earth is Antarctica
Can you help me create a resume?,help_request_resume,resume,help create resume,Of course What job are you applying for
How do you say mother in French?,translate_request,French,mother in French,Mother in French is Mère
What’s the most popular holiday destination?,general_knowledge,holiday destination,most popular holiday destination,The most popular holiday destination is Paris France
Can you help me write a thank you note?,help_request_thank_you_note,thank you note,help write thank you note,Of course Who are you thanking
How do you say school in Spanish?,translate_request,Spanish,school in Spanish,School in Spanish is Escuela
What’s the smallest bird?,general_knowledge,bird,smallest bird,The smallest bird in the world is the bee hummingbird
Can you help me choose a major for college?,help_request_major,major,help choose major for college,Of course What subjects do you enjoy
How do you say good morning in French?,translate_request,French,good morning in French,Good morning in French is Bonjour
What’s the largest river in South America?,general_knowledge,river,largest river South America,The largest river in South America is the Amazon River
Can you help me plan a wedding?,help_request_wedding,wedding,help plan wedding,Of course What’s your theme for the wedding
How do you say beautiful in Spanish?,translate_request,Spanish,beautiful in Spanish,Beautiful in Spanish is Hermoso
What’s the most popular food?,general_knowledge,food,most popular food,The most popular food in the world is pizza
Can you help me create a study guide?,help_request_study_guide,study guide,help create study guide,Of course What subject is the guide for
How do you say book in German?,translate_request,German,book in German,Book in German is Buch
What’s the largest mammal?,general_knowledge,mammal,largest mammal,The largest mammal in the world is the blue whale
Can you help me choose a new hobby?,help_request_hobby,hobby,help choose new hobby,Of course What activities interest you
How do you say earth in French?,translate_request,French,earth in French,Earth in French is Terre
What’s the fastest car?,general_knowledge,car,fastest car,The fastest car in the world is the Bugatti Chiron Super Sport 300+
Can you help me plan a surprise?,help_request_surprise,surprise,help plan surprise,Of course What’s the occasion
How do you say happiness in Spanish?,translate_request,Spanish,happiness in Spanish,Happiness in Spanish is Felicidad
What’s the deepest ocean?,general_knowledge,ocean,deepest ocean,The deepest ocean in the world is the Pacific Ocean
Can you help me choose a pet?,help_request_pet,pet,help choose pet,Of course What type of animals do you like
How do you say night in French?,translate_request,French,night in French,Night in French is Nuit
What’s the oldest tree?,general_knowledge,tree,oldest tree,The oldest tree in the world is a Great Basin bristlecone pine
Can you help me create a workout routine?,help_request_workout_routine,workout routine,help create workout routine,Of course What are your fitness goals
How do you say ocean in Spanish?,translate_request,Spanish,ocean in Spanish,Ocean in Spanish is Océano
What’s the largest island?,general_knowledge,island,largest island,The largest island in the world is Greenland
Can you help me organize my day?,help_request_organize_day,organize day,help organize day,Of course What do you have planned for today
How do you say music in French?,translate_request,French,music in French,Music in French is Musique
What’s the most visited city?,general_knowledge,city,most visited city,The most visited city in the world is Bangkok
Can you help me choose a vacation destination?,help_request_vacation_destination,vacation destination,help choose vacation destination,Of course What are you looking for in a vacation
How do you say phone in French?,translate_request,French,phone in French,Phone in French is Téléphone
What’s the tallest tree?,general_knowledge,tree,tallest tree,The tallest tree in the world is a coast redwood named Hyperion
Can you help me create a meal plan?,help_request_meal_plan,meal plan,help create meal plan,Of course What are your dietary preferences
How do you say car in German?,translate_request,German,car in German,Car in German is Auto
What’s the longest bridge?,general_knowledge,bridge,longest bridge,The longest bridge in the world is the Danyang-Kunshan Grand Bridge in China
Can you help me choose a college?,help_request_college,college,help choose college,Of course What are you looking for in a college
How do you say star in French?,translate_request,French,star in French,Star in French is Étoile
What’s the coldest city?,general_knowledge,city,coldest city,The coldest city in the world is Yakutsk in Russia
Can you help me write a speech?,help_request_speech,speech,help write speech,Of course What’s the topic of the speech
How do you say dog in German?,translate_request,German,dog in German,Dog in German is Hund
What’s the most spoken language?,general_knowledge,language,most spoken language,The most spoken language in the world is English
Can you help me create a playlist?,help_request_playlist,playlist,help create playlist,Of course What genre of music do you enjoy
How do you say water in French?,translate_request,French,water in French,Water in French is Eau
What’s the most populated country?,general_knowledge,country,most populated country,The most populated country in the world is China
Can you help me plan a weekend getaway?,help_request_weekend_getaway,weekend getaway,help plan weekend getaway,Of course Where would you like to go
How do you say coffee in German?,translate_request,German,coffee in German,Coffee in German is Kaffee
What’s the most expensive city?,general_knowledge,city,most expensive city,The most expensive city in the world is Singapore
Can you help me create a travel itinerary?,help_request_travel_itinerary,travel itinerary,help create travel itinerary,Of course Where are you planning to go
